License_Fiscal_Year_License_Num,Business_Name,Street_Address,City,State,Zip,Business_Phone_Number,Classification_Code,Classification_Description,License_Expir_Date,Issue_Date,License_Fiscal_Year,License_Status,License_Status_Description,Council_District_Code,Council_District_Description,Location_1,FID
,"GATERA JR, FRANK E",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 360-1333,TAXID,TAXI DRIVER,2009-06-01T04:00:00.000Z,2008-11-12T05:00:00.000Z,2008,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12650
,BLUE RIBBON TAXI,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 233-4040,TAXICAB,TAXI VEHICLE,2014-10-01T04:00:00.000Z,2013-11-14T05:00:00.000Z,2013,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",12651
,CHICO'S MEXICAN RESTAURANT,2418 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 237-9198,RESTAM,RESTAURANTS A-M,2014-02-28T05:00:00.000Z,2013-02-05T05:00:00.000Z,2013,RN,Renewed,SB6,COUNCIL DISTRICT 6,"2418 W WESTERN AVE
SOUTH BEND, IN 46619
(41.672061, -86.284149)",12652
,UNITED CAB,2107 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-9599,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-23T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"2107 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.652009, -86.249769)",12653
,1124 N EDDY ST,1124 N EDDY ST,SOUTH BEND,IN,46617,(574) 850-4080,LPARKO,LAWN PARK 10 OR MORE SPACES,2013-11-25T05:00:00.000Z,2013-08-29T04:00:00.000Z,2013,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1124 N EDDY ST
SOUTH BEND, IN 46617
(41.690778, -86.235474)",12654
,"CHEPALA, IAN S",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 323-6618,TAXID,TAXI DRIVER,2012-06-01T04:00:00.000Z,2011-08-04T04:00:00.000Z,2011,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12655
,"RELIABLE DISPOSAL, INC",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(269) 465-5513,TRASH,RUBBISH & GARBAGE REMOVAL,2011-04-30T04:00:00.000Z,2011-01-06T05:00:00.000Z,2010,IN,Incative and no longer licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12656
,"SMITH, DAVID A",1102 WHITEHALL DR,SOUTH BEND,IN,46615,(574) 288-6479,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-24T04:00:00.000Z,2014,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1102 WHITEHALL DR
SOUTH BEND, IN 46615
(41.689884, -86.198354)",12657
,GRACE UNITED METH. CHURCH,3012 S TWYCKENHAM DR,SOUTH BEND,IN,46614-2118,(574) 288-4789,RESTAM,RESTAURANTS A-M,2014-02-28T05:00:00.000Z,2013-02-27T05:00:00.000Z,2013,RN,Renewed,SB5,COUNCIL DISTRICT 5,"3012 S TWYCKENHAM DR
SOUTH BEND, IN 46614-2118
(41.641878, -86.233819)",12658
,"SPOOR, THOMAS M",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(269) 228-2092,TAXID,TAXI DRIVER,2009-06-01T04:00:00.000Z,2008-11-14T05:00:00.000Z,2008,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12659
,"NICELY, JIMMY D",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 344-0982,TAXID,TAXI DRIVER,2010-06-01T04:00:00.000Z,2010-03-17T04:00:00.000Z,2009,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12660
,"VAVUL, STEPHEN W",1822 THORNHILL DR,SOUTH BEND,IN,46614,(574) 339-0225,TAXID,TAXI DRIVER,2010-06-01T04:00:00.000Z,2009-05-27T04:00:00.000Z,2009,AC,Active and Licensed,SB5,COUNCIL DISTRICT 5,"1822 THORNHILL DR
SOUTH BEND, IN 46614
(41.624611, -86.221617)",12661
,ERSKINE GOLF COURSE,4201 MIAMI ST,SOUTH BEND,IN,46614,(574) 291-5587,RESTAM,RESTAURANTS A-M,2015-02-28T05:00:00.000Z,2014-03-21T04:00:00.000Z,2014,RN,Renewed,SB6,COUNCIL DISTRICT 6,"4201 MIAMI ST
SOUTH BEND, IN 46614
(41.6322, -86.234816)",12662
,MODERN CAB COMPANY,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 400-9621,TAXICAB,TAXI VEHICLE,2011-06-01T04:00:00.000Z,2010-11-02T04:00:00.000Z,2010,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",12663
,"ALALADE, OBAFEMI A",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 340-4514,TAXID,TAXI DRIVER,2012-06-01T04:00:00.000Z,2011-08-12T04:00:00.000Z,2011,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12664
,ILLUSIONS SPA & SALON,2123 EDISON RD,SOUTH BEND,IN,46637,(574) 272-0312,MSGEST,MASSAGE ESTABLISHMENT,2011-01-31T05:00:00.000Z,2010-11-02T04:00:00.000Z,2010,IN,Incative and no longer licensed,SB4,COUNCIL DISTRICT 4,"2123 EDISON RD
SOUTH BEND, IN 46637
(41.694486, -86.217334)",12665
,UNITED CAB,2107 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-9599,TAXICAB,TAXI VEHICLE,2014-10-01T04:00:00.000Z,2013-09-10T04:00:00.000Z,2013,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"2107 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.652009, -86.249769)",12666
,LANDMARK/SOLLIDAY LANDSCAPING,10882 MCKINLEY HWY,MISHAWAKA,IN,46545,(574) 674-8196,ARBOR,ARBORIST/TREE SERVICE,2012-01-31T05:00:00.000Z,2011-02-24T05:00:00.000Z,2011,RN,Renewed,,,"10882 MCKINLEY HWY
MISHAWAKA, IN 46545
",12667
,BURGER KING #7055,2171 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 273-2220,RESTAM,RESTAURANTS A-M,2011-02-28T05:00:00.000Z,2010-02-04T05:00:00.000Z,2010,RN,Renewed,SB4,COUNCIL DISTRICT 4,"2171 SOUTH BEND AVE
SOUTH BEND, IN 46637
(41.699775, -86.216986)",12668
,IMMANUEL UNITED METHODIST,1211 W EWING AVE,SOUTH BEND,IN,46613,(574) 000-0000,RESTAM,RESTAURANTS A-M,2014-02-28T05:00:00.000Z,2013-05-17T04:00:00.000Z,2013,RN,Renewed,SB6,COUNCIL DISTRICT 6,"1211 W EWING AVE
SOUTH BEND, IN 46613
(41.650404, -86.268166)",12669
,"MUHUHA, SAMUEL N",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(000) 000-0000,TAXID,TAXI DRIVER,2012-06-01T04:00:00.000Z,2011-08-19T04:00:00.000Z,2011,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12670
,"WON, AL B",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(269) 277-1164,TAXID,TAXI DRIVER,2010-06-01T04:00:00.000Z,2010-03-17T04:00:00.000Z,2009,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12671
,1119 N TWYCKENHAM,1119 N TWYCKENHAM DR,SOUTH BEND,IN,46617,(574) 329-6109,LPARKU,LAWN PARK UNDER 10 SPACES,2010-11-13T05:00:00.000Z,2010-11-05T04:00:00.000Z,2010,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1119 N TWYCKENHAM DR
SOUTH BEND, IN 46617
(41.690467, -86.22596)",12672
,MARTIN'S SUPER MARKETS #10,2081 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 272-6922,RESTAM,RESTAURANTS A-M,2014-02-28T05:00:00.000Z,2013-04-17T04:00:00.000Z,2013,RN,Renewed,,,"2081 SOUTH BEND AVE
SOUTH BEND, IN 46637
(41.69748, -86.220818)",12673
,SUZAN MARIE VAN WYNSBERGLE,53400 STONERIDGE ST,,,,(574) 243-1373,MSGTEC,MASSAGE THERAPY,2008-01-31T05:00:00.000Z,2007-12-01T05:00:00.000Z,2007,IN,Incative and no longer licensed,,,,12674
,"T.C. SECURITY CO., INC.",2214 MIAMI ST,SOUTH BEND,IN,46613,(574) 232-2664,ALARM,ALARM AGENT,2012-01-31T05:00:00.000Z,2011-02-10T05:00:00.000Z,2011,RN,Renewed,SB3,COUNCIL DISTRICT 3,"2214 MIAMI ST
SOUTH BEND, IN 46613
(41.651421, -86.234901)",12675
,EMPIRE CAB COMPANY,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 233-5000,TAXICAB,TAXI VEHICLE,2014-10-01T04:00:00.000Z,2013-09-10T04:00:00.000Z,2013,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",12676
,THAT CHEESECAKE PLACE,3612 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 288-4168,RESTZ,RESTAURANTS N-Z,2013-03-31T04:00:00.000Z,2012-03-23T04:00:00.000Z,2012,RN,Renewed,SB6,COUNCIL DISTRICT 6,"3612 W WESTERN AVE
SOUTH BEND, IN 46619
(41.671932, -86.298969)",12677
,"DAVIS, JEROME",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 287-3306,TAXID,TAXI DRIVER,2009-06-01T04:00:00.000Z,2008-12-08T05:00:00.000Z,2008,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12678
,UNITED CAB,2107 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-9599,TAXICAB,TAXI VEHICLE,2014-10-01T04:00:00.000Z,2013-09-10T04:00:00.000Z,2013,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"2107 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.652009, -86.249769)",12679
,"EMMANS, RONNIE D",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 272-3421,TAXID,TAXI DRIVER,2011-06-01T04:00:00.000Z,2010-05-03T04:00:00.000Z,2010,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12680
,"TREADSTONE, LLC",445 N SHERIDAN ST,SOUTH BEND,IN,46619,(574) 273-0489,SMD,SCRAP METAL /JUNK DEALERS,2012-01-31T05:00:00.000Z,2011-03-01T05:00:00.000Z,2011,RN,Renewed,SB2,COUNCIL DISTRICT 2,"445 N SHERIDAN ST
SOUTH BEND, IN 46619
(41.680815, -86.303508)",12681
,"EMMANS, RONNIE D",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 272-3421,TAXID,TAXI DRIVER,2010-06-01T04:00:00.000Z,2010-03-17T04:00:00.000Z,2009,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12682
,SPEEDY'S AUTO & CYCLE SALES,4001 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 234-1809,AUTO,AUTOMOTIVE REPAIR & SVC,2014-01-31T05:00:00.000Z,2013-02-22T05:00:00.000Z,2013,RN,Renewed,SB6,COUNCIL DISTRICT 6,"4001 W SAMPLE ST
SOUTH BEND, IN 46619
(41.664635, -86.303607)",12683
,MEJORANDO LA SALUD,2622 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 287-1463,RESTAM,RESTAURANTS A-M,2014-02-28T05:00:00.000Z,2013-09-10T04:00:00.000Z,2013,IN,Incative and no longer licensed,SB6,COUNCIL DISTRICT 6,"2622 W WESTERN AVE
SOUTH BEND, IN 46619
(41.672034, -86.286754)",12684
,"SPIVEY, MELISSA M",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 223-3875,TAXID,TAXI DRIVER,2011-06-01T04:00:00.000Z,2010-05-05T04:00:00.000Z,2010,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12685
,MCKINLEY PUB,2930 MCKINLEY AVE,SOUTH BEND,IN,46615,(574) 234-2616,RESTAM,RESTAURANTS A-M,2014-02-28T05:00:00.000Z,2013-02-04T05:00:00.000Z,2013,RN,Renewed,SB4,COUNCIL DISTRICT 4,"2930 MCKINLEY AVE
SOUTH BEND, IN 46615
(41.679831, -86.205779)",12686
,"ANKNEY, MARY J",3603 ADDISON ST,SOUTH BEND,IN,46614,(574) 231-4800,TAXID,TAXI DRIVER,2011-06-01T04:00:00.000Z,2011-03-14T04:00:00.000Z,2010,AC,Active and Licensed,SB6,COUNCIL DISTRICT 6,"3603 ADDISON ST
SOUTH BEND, IN 46614
(41.637818, -86.248413)",12687
,NU 2 U PC - DO NOT USE,1413 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 742-8618,SECOND,SECOND HAND DEALERS,2012-01-31T05:00:00.000Z,2010-12-13T05:00:00.000Z,2011,IN,Incative and no longer licensed,SB6,COUNCIL DISTRICT 6,"1413 W WESTERN AVE
SOUTH BEND, IN 46619
(41.672093, -86.272228)",12688
,"EZELL, PAUL T",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 217-8884,TAXID,TAXI DRIVER,2009-06-01T04:00:00.000Z,2008-12-09T05:00:00.000Z,2008,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12689
,EAGLE CAB/EAGLE TRANSPORTATION,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 287-6666,TAXICAB,TAXI VEHICLE,2014-10-01T04:00:00.000Z,2013-09-11T04:00:00.000Z,2013,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",12690
,INTERFAITH CHRISTIAN UNION,702 LINCOLN WAY W,SOUTH BEND,IN,46616-1122,(574) 287-4700,RESTAM,RESTAURANTS A-M,2012-02-28T05:00:00.000Z,2011-05-13T04:00:00.000Z,2011,RN,Renewed,,,"702 LINCOLN WAY W
SOUTH BEND, IN 46616-1122
(41.68129, -86.260298)",12691
,CHECKER CAB OF NORTHERN INDIAN,1635 N IRONWOOD DR,SOUTH BEND,IN,46615,(574) 288-7777,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-26T04:00:00.000Z,2014,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1635 N IRONWOOD DR
SOUTH BEND, IN 46615
(41.697561, -86.216497)",12692
,"MTAMBO, MOHAMED K",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 257-8854,TAXID,TAXI DRIVER,2009-06-01T04:00:00.000Z,2008-12-31T05:00:00.000Z,2008,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12693
,"BLUE HERON, INC",5440 NIMTZ PKWY,SOUTH BEND,IN,46628-6115,(574) 233-3091,RESTAM,RESTAURANTS A-M,2014-02-28T05:00:00.000Z,2013-02-20T05:00:00.000Z,2013,RN,Renewed,,,"5440 NIMTZ PKWY
SOUTH BEND, IN 46628-6115
(41.728421, -86.324876)",12694
,KROGER J-901,4526 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 288-0471,RESTAM,RESTAURANTS A-M,2012-02-28T05:00:00.000Z,2011-02-17T05:00:00.000Z,2011,RN,Renewed,SB6,COUNCIL DISTRICT 6,"4526 W WESTERN AVE
SOUTH BEND, IN 46619
(41.67181, -86.311202)",12695
,TEST,1956 E EWING AVE,SOUTH BEND,IN,46613,(000) 000-0000,BUSK,BUSKER OR SIDEWALK PERFORMER,2014-01-31T05:00:00.000Z,2013-12-17T05:00:00.000Z,2013,IN,Incative and no longer licensed,SB5,COUNCIL DISTRICT 5,"1956 E EWING AVE
SOUTH BEND, IN 46613
(41.651221, -86.21621)",12696
,EMPIRE CAB COMPANY,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 233-5000,TAXICAB,TAXI VEHICLE,2014-10-01T04:00:00.000Z,2013-09-11T04:00:00.000Z,2013,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",12697
,HILL TRUCK SALES,1011 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 289-4065,AUTO,AUTOMOTIVE REPAIR & SVC,2011-01-31T05:00:00.000Z,2010-02-26T05:00:00.000Z,2010,RN,Renewed,SB6,COUNCIL DISTRICT 6,"1011 W SAMPLE ST
SOUTH BEND, IN 46619
(41.665024, -86.265393)",12698
,EAGLE CAB/EAGLE TRANSPORTATION,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 287-6666,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-26T04:00:00.000Z,2014,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",12699
,EXPRESS & ABC CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-6000,TAXICAB,TAXI VEHICLE,2014-10-01T04:00:00.000Z,2013-12-19T05:00:00.000Z,2013,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",12700
,MIRAMONTES TREE SERVICE,56177 PINE RD,SOUTH BEND,IN,46619,(574) 286-1428,ARBOR,ARBORIST/TREE SERVICE,2010-01-31T05:00:00.000Z,2009-06-16T04:00:00.000Z,2009,RN,Renewed,,,"56177 PINE RD
SOUTH BEND, IN 46619
(41.676607, -86.351051)",12701
,CITY LIMITS LOUNGE,1807 S IRONWOOD DR,SOUTH BEND,IN,46614,(574) 288-3636,RESTAM,RESTAURANTS A-M,2011-02-28T05:00:00.000Z,2010-03-19T04:00:00.000Z,2010,RN,Renewed,SB3,COUNCIL DISTRICT 3,"1807 S IRONWOOD DR
SOUTH BEND, IN 46614
(41.655234, -86.215804)",12702
,CHUCK'S TAVERN,1201 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 289-9457,RESTAM,RESTAURANTS A-M,2012-02-28T05:00:00.000Z,2011-02-09T05:00:00.000Z,2011,RN,Renewed,SB6,COUNCIL DISTRICT 6,"1201 W SAMPLE ST
SOUTH BEND, IN 46619
(41.66497, -86.267381)",12703
,BACKSTAGE GRILL,222 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 232-0222,RESTAM,RESTAURANTS A-M,2011-02-28T05:00:00.000Z,2010-03-19T04:00:00.000Z,2010,RN,Renewed,,,"222 S MICHIGAN ST
SOUTH BEND, IN 46601
(41.674383, -86.250289)",12704
,BESTWAY TOWING,850 FELLOWS ST,SOUTH BEND,IN,46619,(574) 288-2500,VEHREM,VEHICLE REMOVAL,2015-01-31T05:00:00.000Z,2014-04-04T04:00:00.000Z,2014,RN,Renewed,SB2,COUNCIL DISTRICT 2,"850 FELLOWS ST
SOUTH BEND, IN 46619
(41.666125, -86.2445)",12705
,"RELIABLE DISPOSAL, INC",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(269) 465-5513,TRASH,RUBBISH & GARBAGE REMOVAL,2011-04-30T04:00:00.000Z,2010-08-30T04:00:00.000Z,2010,RN,Renewed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12706
,MIAMI STREET PIZZA,1529 MIAMI ST,SOUTH BEND,IN,46613,(574) 329-8251,RESTAM,RESTAURANTS A-M,2010-02-28T05:00:00.000Z,2009-07-13T04:00:00.000Z,2009,IN,Incative and no longer licensed,SB3,COUNCIL DISTRICT 3,"1529 MIAMI ST
SOUTH BEND, IN 46613
(41.658561, -86.234979)",12707
,1311 WHITE OAK DR,1311 WHITE OAK DR,SOUTH BEND,IN,46617,(000) 000-0000,LPARKU,LAWN PARK UNDER 10 SPACES,2013-11-01T04:00:00.000Z,2012-11-01T04:00:00.000Z,2012,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1311 WHITE OAK DR
SOUTH BEND, IN 46617
(41.692977, -86.224813)",12708
,ENVIROVISION,3205 BREMEN HWY,MISHAWAKA,IN,46544,(574) 259-4357,ARBOR,ARBORIST/TREE SERVICE,2016-01-31T05:00:00.000Z,2015-03-03T05:00:00.000Z,2015,RN,Renewed,,,"3205 BREMEN HWY
MISHAWAKA, IN 46544
",12709
,BILL'S PLACE RESTAURANT,2105 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 282-2002,RESTAM,RESTAURANTS A-M,2014-02-28T05:00:00.000Z,2013-02-27T05:00:00.000Z,2013,RN,Renewed,SB6,COUNCIL DISTRICT 6,"2105 W WESTERN AVE
SOUTH BEND, IN 46619
(41.672124, -86.280309)",12710
,CASHMERE'S,1902 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 383-4242,RESTAM,RESTAURANTS A-M,2013-02-28T05:00:00.000Z,2012-11-06T05:00:00.000Z,2012,IN,Incative and no longer licensed,SB6,COUNCIL DISTRICT 6,"1902 W WESTERN AVE
SOUTH BEND, IN 46619
(41.672146, -86.277976)",12711
,INFRASOURCE CONSTRUCTION LLC,4601 W CLEVELAND RD,SOUTH BEND,IN,46628,(630) 613-3518,ALARM,ALARM AGENT,2011-01-31T05:00:00.000Z,2010-05-19T04:00:00.000Z,2010,RN,Renewed,SB1,COUNCIL DISTRICT 1,"4601 W CLEVELAND RD
SOUTH BEND, IN 46628
",12712
,PANDORA'S BOX,814 W INDIANA AVE,SOUTH BEND,IN,46613,(574) 520-0257,SECOND,SECOND HAND DEALERS,2010-01-31T05:00:00.000Z,2009-06-22T04:00:00.000Z,2009,IN,Incative and no longer licensed,SB3,COUNCIL DISTRICT 3,"814 W INDIANA AVE
SOUTH BEND, IN 46613
(41.657745, -86.261588)",12713
,"HARTSOCK, CARL W",1101 E BRONSON ST,SOUTH BEND,IN,46615,(574) 315-4312,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-26T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1101 E BRONSON ST
SOUTH BEND, IN 46615
(41.668957, -86.234539)",12714
,GREEN STAR CAFE,1605 MIAMI ST,SOUTH BEND,IN,46613-2817,(574) 287-9606,RESTAM,RESTAURANTS A-M,2014-02-28T05:00:00.000Z,2013-03-01T05:00:00.000Z,2013,RN,Renewed,SB3,COUNCIL DISTRICT 3,"1605 MIAMI ST
SOUTH BEND, IN 46613-2817
(41.657855, -86.234971)",12715
,CENTRAL SECURITY & COMM.,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(317) 543-1300,ALARM,ALARM AGENT,2011-01-31T05:00:00.000Z,2010-06-23T04:00:00.000Z,2010,RN,Renewed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12716
,ECO ALARM,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(866) 290-6769,ALARM,ALARM AGENT,2015-01-31T05:00:00.000Z,2014-10-29T04:00:00.000Z,2014,IN,Incative and no longer licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12717
,RAGE CUSTOMS AUTOMOTIVE INC,1307 LINCOLN WAY W,SOUTH BEND,IN,46628-2415,(574) 217-1986,AUTO,AUTOMOTIVE REPAIR & SVC,2010-01-31T05:00:00.000Z,2009-07-24T04:00:00.000Z,2009,RN,Renewed,,,"1307 LINCOLN WAY W
SOUTH BEND, IN 46628-2415
(41.684244, -86.27006)",12718
,ONE STOP #4,6301 US 31 S,SOUTH BEND,IN,46614,(574) 231-9671,RESTZ,RESTAURANTS N-Z,2011-03-31T04:00:00.000Z,2010-08-31T04:00:00.000Z,2010,IN,Incative and no longer licensed,,,"6301 US
SOUTH BEND, IN 46614
",12719
,PEDRO'S FAMILY RESTAURNT,3314 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 273-3124,RESTZ,RESTAURANTS N-Z,2013-03-31T04:00:00.000Z,2012-11-19T05:00:00.000Z,2012,RN,Renewed,SB1,COUNCIL DISTRICT 1,"3314 PORTAGE AVE
SOUTH BEND, IN 46628
(41.72103, -86.285224)",12720
,CHICK-FIL-A,4555 S MICHIGAN ST,SOUTH BEND,IN,46614,(574) 968-0351,RESTAM,RESTAURANTS A-M,2011-02-28T05:00:00.000Z,2010-03-17T04:00:00.000Z,2010,RN,Renewed,SB6,COUNCIL DISTRICT 6,"4555 S MICHIGAN ST
SOUTH BEND, IN 46614
(41.627698, -86.251213)",12721
,"ALZAREINI, HASAN S",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 239-5166,TAXID,TAXI DRIVER,2011-06-01T04:00:00.000Z,2010-04-13T04:00:00.000Z,2010,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12722
,NUEVA VIDA,2013 FORD ST,SOUTH BEND,IN,46619,(574) 339-8332,RESTZ,RESTAURANTS N-Z,2013-03-31T04:00:00.000Z,2013-03-01T05:00:00.000Z,2012,RN,Renewed,SB6,COUNCIL DISTRICT 6,"2013 FORD ST
SOUTH BEND, IN 46619
(41.668477, -86.278969)",12723
,JOE'S TAVERN,1201 DUNHAM ST,SOUTH BEND,IN,46619,(574) 237-9182,RESTAM,RESTAURANTS A-M,2015-02-28T05:00:00.000Z,2014-02-25T05:00:00.000Z,2014,RN,Renewed,SB6,COUNCIL DISTRICT 6,"1201 DUNHAM ST
SOUTH BEND, IN 46619
(41.666731, -86.267558)",12724
,EXPRESS & ABC CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-6000,TAXICAB,TAXI VEHICLE,2010-06-01T04:00:00.000Z,2009-06-25T04:00:00.000Z,2009,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",12725
,DAIRY QUEEN,4206 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 288-1100,RESTAM,RESTAURANTS A-M,2012-02-28T05:00:00.000Z,2011-03-21T04:00:00.000Z,2011,RN,Renewed,SB6,COUNCIL DISTRICT 6,"4206 W WESTERN AVE
SOUTH BEND, IN 46619
(41.671887, -86.306118)",12726
,UNITED CAB,2107 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-9599,TAXICAB,TAXI VEHICLE,2014-10-01T04:00:00.000Z,2013-09-13T04:00:00.000Z,2013,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"2107 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.652009, -86.249769)",12727
,"WM SECURITY SERVICES, INC",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(800) 882-3149,ALARM,ALARM AGENT,2012-01-31T05:00:00.000Z,2011-02-10T05:00:00.000Z,2011,RN,Renewed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",12728
,MODERN CAB COMPANY,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 400-9621,TAXICAB,TAXI VEHICLE,2013-10-01T04:00:00.000Z,2012-11-02T04:00:00.000Z,2013,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",12729
